transactions,latency
8,0.00374
10,0.011684
10,0.007181
10,0.008187
10,0.010181
10,0.027514
10,0.00905
10,0.00791
10,0.005859
10,0.014776
20,0.004786
18,0.002911
20,0.006496
20,0.008639
20,0.004915
20,0.003437
20,0.004559
19,0.002088
20,0.010601
20,0.00251
30,0.008204
30,0.004222
26,0.027552
30,0.005789
30,0.003108
30,0.004804
30,0.001803
30,0.002626
27,0.001474
30,0.001836
39,0.004328
40,0.001799
37,0.001556
40,0.001965
40,0.006837
40,0.002495
39,0.002142
40,0.00138
40,0.003527
40,0.002009
49,0.002097
50,0.005657
44,0.002605
50,0.003201
49,0.004828
50,0.003421
49,0.002455
45,0.003407
50,0.011031
49,0.001762
60,0.006365
55,0.002585
60,0.006694
56,0.002177
60,0.003917
58,0.003298
60,0.023134
59,0.003364
60,0.006172
57,0.004955
70,0.006003
66,0.005006
67,0.008308
70,0.003339
66,0.003661
70,0.00221
70,0.002419
67,0.007645
68,0.002425
70,0.003742
78,0.012053
78,0.003197
80,0.003065
78,0.008503
80,0.007368
76,0.002247
80,0.009443
78,0.003703
80,0.003039
78,0.007829
90,0.005701
86,0.004241
87,0.002958
89,0.012235
89,0.004938
90,0.003228
90,0.006113
90,0.003724
87,0.267743
85,0.094153
97,0.006233
99,0.005962
99,0.005832
100,0.004584
95,0.005621
96,0.004146
97,0.00284
100,0.003318
98,0.004741
99,0.009091
107,0.008431
106,0.004005
104,0.007212
109,0.003497
108,0.006249
110,0.032476
108,0.007136
108,0.007867
108,0.004323
110,0.006132
116,0.006044
118,0.006133
117,0.008418
120,0.00606
118,0.00568
119,0.007002
118,0.002751
120,0.011016
117,0.008162
120,0.00939
124,0.004549
127,0.006032
129,0.022025
130,0.007533
129,0.012438
126,0.0263
130,0.004383
130,0.011282
127,0.033294
128,0.018333
137,0.008123
137,0.006281
136,0.003242
137,0.022528
138,0.063344
138,0.003479
135,0.032742
136,0.090115
138,0.01797
136,0.006178
147,0.017797
145,0.006769
149,0.042058
147,0.044142
146,0.031519
147,0.010566
147,0.01628
146,0.017593
149,0.118472
145,0.056007
158,0.083704
153,0.04625
155,0.068369
156,0.051037
152,0.007215
157,0.018207
156,0.010902
159,0.049384
157,0.008144
158,0.005066
168,0.051935
167,0.020505
168,0.008711
167,0.025928
167,0.009573
168,0.073925
166,0.02145
166,0.034438
167,0.023677
167,0.015582
176,0.129403
173,0.206962
178,0.07347
178,0.011497
173,0.010118
176,0.007107
180,0.008752
180,0.013796
179,0.016857
179,0.008958
187,0.031082
187,0.002503
186,0.00186
188,0.764874
189,0.093735
189,0.003379
188,0.006481
186,0.005988
187,0.005051
190,0.017296
197,0.013534
200,0.006312
199,0.007157
200,0.004709
194,0.021151
198,0.023208
196,0.181656
195,0.18217
198,0.166114
198,0.021698
203,0.044438
207,0.077406
208,0.53658
209,1.626609
208,0.883097
207,0.366591
203,0.098428
208,0.122925
205,0.309219
210,0.18165
218,0.023605
215,0.066805
214,0.008225
217,0.228411
214,0.277595
214,0.422166
213,0.390832
215,0.13647
216,0.050641
219,0.046022
228,0.080607
222,0.390131
228,0.051811
225,0.067916
225,0.068977
223,0.42905
226,3.644029
229,3.843905
223,0.408595
224,1.351651
235,1.178166
238,1.323003
237,1.392209
234,1.118852
234,0.689508
230,0.313843
235,0.34529
236,0.16396
237,0.171101
230,0.118986
244,0.045612
244,0.033317
247,0.035637
245,0.034197
244,0.033504
245,1.300233
248,8.318604
248,1.991041
246,1.304036
243,4.405629
243,0.611416
254,0.777234
246,3.516884
245,5.310948
246,4.261765
253,6.177062
239,4.463673
257,0.992968
246,0.738196
238,0.375078
258,0.992734
248,4.451617
244,0.738328
255,2.5059
252,0.643792
255,0.501752
256,0.535351
266,0.476029
256,4.75316
263,0.973389
271,0.825503
272,1.43382
267,2.332333
270,1.866728
273,1.987421
269,2.371373
273,2.363312
271,3.111517
273,5.725199
274,8.412555
287,5.270033
286,8.22824
289,5.353092
288,5.018834
281,5.320122
270,5.411183
283,5.720277
276,5.797195
275,6.812518
281,8.238954
294,8.697177
291,9.279222
291,9.748171
294,10.986726
288,9.503014
296,22.831443
293,10.813408
290,11.146054
298,11.889188
292,21.757631
305,13.376203
302,24.387156
299,15.122913
304,14.624452
307,14.620422
305,17.096612
303,16.641423
302,16.930687
304,16.170882
302,17.14762
306,18.031543
313,18.819394
314,18.671303
316,19.078817
310,19.800823
308,21.807942
308,20.316189
310,20.901617
316,21.1208
312,21.528113
321,21.652882
322,21.936781
308,51.354794
302,78.639378
244,118.622157
