transactions latency
252 0.64
252 1.72
253 6.18
254 0.78
255 2.51
255 0.50
256 0.54
256 4.75
256 1.34
257 0.99
258 0.99
261 3.26
262 59.63
262 8.43
263 0.97
265 4.12
266 0.48
267 2.33
269 2.37
269 51.39
270 1.87
270 5.41
271 0.83
271 3.11
272 1.43
272 11.60
273 1.99
273 2.36
273 5.73
273 51.07
274 8.41
275 6.81
276 5.80
279 93.75
281 5.32
284 56.73
285 43.95
290 11.15
292 21.76
292 46.30
293 10.81
294 8.70
294 10.99
296 22.83
298 11.89
299 15.12
299 2.31
301 1.52
302 24.39
302 16.93
302 17.15
302 78.64
303 16.64
304 14.62
304 16.17
304 2.63
304 4.99
305 13.38
305 17.10
306 18.03
307 14.62
308 21.81
308 20.32
308 51.35
308 58.45
310 19.80
310 20.90
312 21.53
313 18.82
314 18.67
315 5.13
316 19.08
316 21.12
320 72.47
321 21.65
322 21.94
323 25.35
324 25.96
328 24.86
328 71.87
328 33.76
328 33.68
330 35.13
334 41.94
338 50.90
339 51.61
342 5.67
343 2.96
