#date time latency xfertime sleeptime bytes transactions
2018-01-17 10:03:50 0.001322 0.000077 0.000000 4751 2
2018-01-17 10:03:51 0.007992 0.000311 0.000000 17873 8
2018-01-17 10:03:52 0.019863 0.004398 0.000000 301773 10
2018-01-17 10:03:53 0.010484 0.000533 0.000000 46984 10
2018-01-17 10:03:54 0.012825 0.000683 0.000000 67026 10
2018-01-17 10:03:55 0.013242 0.000857 0.000000 87954 10
2018-01-17 10:03:56 0.025253 0.006727 0.000000 420575 10
2018-01-17 10:03:57 0.016705 0.008198 0.000000 520278 10
2018-01-17 10:03:58 0.018002 0.000759 0.000000 74218 10
2018-01-17 10:03:59 0.018058 0.000797 0.000000 86037 10
2018-01-17 10:04:00 0.019550 0.005702 0.000000 97435 10
2018-01-17 10:04:01 0.005176 0.000426 0.000000 45250 20
2018-01-17 10:04:02 0.006189 0.002702 0.000000 204600 18
2018-01-17 10:04:03 0.016798 0.002666 0.000000 246911 20
2018-01-17 10:04:04 0.020603 0.003837 0.000000 333520 20
2018-01-17 10:04:05 0.009946 0.001153 0.000000 125480 20
2018-01-17 10:04:06 0.009909 0.000845 0.000000 39122 20
2018-01-17 10:04:07 0.006441 0.001291 0.000000 104235 20
2018-01-17 10:04:08 0.003928 0.000883 0.000000 88202 19
2018-01-17 10:04:09 0.005482 0.000212 0.000000 19020 20
2018-01-17 10:04:10 0.005335 0.001210 0.000000 100302 21
2018-01-17 10:04:11 0.013480 0.001808 0.000000 156313 30
2018-01-17 10:04:12 0.010816 0.000814 0.000000 45245 30
2018-01-17 10:04:13 0.114629 0.036245 0.000000 461145 26
2018-01-17 10:04:14 0.007306 0.001142 0.000000 65057 30
2018-01-17 10:04:15 0.005290 0.001065 0.000000 108634 30
2018-01-17 10:04:16 0.013463 0.002567 0.000000 142081 30
2018-01-17 10:04:17 0.005917 0.000740 0.000000 73478 30
2018-01-17 10:04:18 0.002790 0.000636 0.000000 69492 30
2018-01-17 10:04:19 0.004386 0.001098 0.000000 95481 27
2018-01-17 10:04:20 0.005131 0.001277 0.000000 98733 31
2018-01-17 10:04:21 0.009675 0.001127 0.000000 99130 40
2018-01-17 10:04:22 0.004404 0.001146 0.000000 76873 40
2018-01-17 10:04:23 0.005055 0.001768 0.000000 125112 37
2018-01-17 10:04:24 0.002659 0.002736 0.000000 182334 40
2018-01-17 10:04:25 0.016411 0.004125 0.000000 286702 40
2018-01-17 10:04:26 0.006126 0.000401 0.000000 39230 40
2018-01-17 10:04:27 0.004190 0.000709 0.000000 39163 39
2018-01-17 10:04:28 0.005068 0.002231 0.000000 146523 40
2018-01-17 10:04:29 0.006692 0.002968 0.000000 246164 40
2018-01-17 10:04:30 0.005016 0.000868 0.000000 71650 41
2018-01-17 10:04:31 0.002069 0.001163 0.000000 85169 49
2018-01-17 10:04:32 0.006838 0.004252 0.000000 338675 50
2018-01-17 10:04:33 0.004508 0.000658 0.000000 65865 44
2018-01-17 10:04:34 0.006791 0.001480 0.000000 94095 50
2018-01-17 10:04:35 0.005833 0.001681 0.000000 159274 49
2018-01-17 10:04:36 0.012923 0.002284 0.000000 160942 50
2018-01-17 10:04:37 0.003169 0.001128 0.000000 109212 44
2018-01-17 10:04:38 0.005463 0.002550 0.000000 153271 50
2018-01-17 10:04:39 0.048523 0.020188 0.000000 270007 50
2018-01-17 10:04:40 0.004300 0.000846 0.000000 83800 50
2018-01-17 10:04:41 0.017526 0.008410 0.000000 300503 60
2018-01-17 10:04:42 0.006655 0.001835 0.000000 85113 55
2018-01-17 10:04:43 0.009307 0.003064 0.000000 221723 60
2018-01-17 10:04:44 0.005508 0.002193 0.000000 119115 56
2018-01-17 10:04:45 0.005320 0.000702 0.000000 81915 60
2018-01-17 10:04:46 0.007583 0.002681 0.000000 174103 58
2018-01-17 10:04:47 0.015016 0.006155 0.000000 245630 60
2018-01-17 10:04:48 0.006074 0.002088 0.000000 171123 59
2018-01-17 10:04:49 0.007737 0.002691 0.000000 166794 60
2018-01-17 10:04:50 0.017165 0.013166 0.000000 205594 58
2018-01-17 10:04:51 0.074862 0.009802 0.000000 145632 66
2018-01-17 10:04:52 0.011082 0.004332 0.000000 235784 70
2018-01-17 10:04:53 0.016028 0.004687 0.000000 213502 67
2018-01-17 10:04:54 0.005570 0.000345 0.000000 34493 69
2018-01-17 10:04:55 0.004433 0.001292 0.000000 103223 68
2018-01-17 10:04:56 0.003073 0.000886 0.000000 67632 70
2018-01-17 10:04:57 0.013326 0.004141 0.000000 232827 70
2018-01-17 10:04:58 0.009682 0.002959 0.000000 220160 67
2018-01-17 10:04:59 0.003117 0.001226 0.000000 64489 69
2018-01-17 10:05:00 0.006875 0.003048 0.000000 218816 70
2018-01-17 10:05:01 0.006088 0.001636 0.000000 134115 78
2018-01-17 10:05:02 0.004115 0.001707 0.000000 100084 78
2018-01-17 10:05:03 0.004809 0.001679 0.000000 137751 78
2018-01-17 10:05:04 0.014992 0.005751 0.000000 238461 80
