#date time latency xfertime sleeptime bytes transactions
#TPS=100,200  0 0 0 0 0
2018-01-19 16:17:56 0.002400 0.000135 0.000000 5151 8
2018-01-19 16:17:57 0.011379 0.003428 0.000000 190942 9
2018-01-19 16:17:58 0.010941 0.001840 0.000000 172352 10
2018-01-19 16:17:59 0.009710 0.000688 0.000000 64786 10
2018-01-19 16:18:00 0.011930 0.000621 0.000000 59538 10
2018-01-19 16:18:01 0.025581 0.005830 0.000000 403537 10
2018-01-19 16:18:02 0.005852 0.001102 0.000000 118503 10
2018-01-19 16:18:03 0.007774 0.008247 0.000000 532870 10
2018-01-19 16:18:04 0.010889 0.000262 0.000000 26658 10
2018-01-19 16:18:05 0.009249 0.000761 0.000000 83254 10
2018-01-19 16:18:06 0.005141 0.000613 0.000000 63198 27
2018-01-19 16:18:07 0.007610 0.002701 0.000000 246592 28
2018-01-19 16:18:08 0.011269 0.003424 0.000000 308355 30
2018-01-19 16:18:09 0.007224 0.000937 0.000000 77710 30
2018-01-19 16:18:10 0.003985 0.001397 0.000000 108666 30
2018-01-19 16:18:11 0.002792 0.000246 0.000000 26581 29
2018-01-19 16:18:12 0.003856 0.000931 0.000000 78785 30
2018-01-19 16:18:13 0.010123 0.001807 0.000000 156650 30
2018-01-19 16:18:14 0.003406 0.000463 0.000000 48452 30
2018-01-19 16:18:15 0.042549 0.023218 0.000000 456312 26
2018-01-19 16:18:16 0.006234 0.001014 0.000000 87682 53
2018-01-19 16:18:17 0.002552 0.000917 0.000000 102182 60
2018-01-19 16:18:18 0.002196 0.001230 0.000000 94230 57
2018-01-19 16:18:19 0.003153 0.001088 0.000000 98135 60
2018-01-19 16:18:20 0.002192 0.001325 0.000000 91922 60
2018-01-19 16:18:21 0.002141 0.001646 0.000000 118938 57
2018-01-19 16:18:22 0.005944 0.002818 0.000000 260098 60
2018-01-19 16:18:23 0.002453 0.000271 0.000000 24978 59
2018-01-19 16:18:24 0.004118 0.001961 0.000000 131429 60
2018-01-19 16:18:25 0.001905 0.002208 0.000000 181200 60
2018-01-19 16:18:26 0.003544 0.003595 0.000000 236309 88
2018-01-19 16:18:27 0.003273 0.001269 0.000000 88298 94
2018-01-19 16:18:28 0.004824 0.001832 0.000000 141616 99
