#yyy-mm-dd hh:mm:ss latency xfertime thinktime bytes url rc op
2017-12-16 16:41:15.886 0.410268 0.000076 0 133 /download/images 200 GET
2017-12-16 16:41:16.886 0.424688 0.000082 0 3553 3HK/index.html 200 GET
2017-12-16 16:41:17.886 1.102707 0.001008 0 614773 49108a0e-e1cf-45d3-86d6-1beb7d606662 200 GET
2017-12-16 16:41:19.886 0.955088 0.000170 0 88431 KoboImage.png 200 GET
2017-12-16 16:41:20.886 1.487981 0.001697 0 299888 RandomHouse-image-d673e8cc-1615-425b-b56c-1b0ece805565 200 GET
2017-12-16 16:41:21.886 0.604453 0.000022 0 2 TEST/TEST.txt 200 GET
2017-12-16 16:41:22.886 1.402814 0.000189 0 82678 TestFile.pdf 200 GET
2017-12-16 16:41:24.886 1.528600 0.000155 0 66376 Touch-2.png 200 GET
2017-12-16 16:41:25.886 2.554421 0.000163 0 66376 TouchMe.png 200 GET
2017-12-16 16:41:27.886 1.354249 0.000152 0 11833 akamai-sureroute-test-object.htm 200 GET
2017-12-16 16:41:26.886 2.659582 0.000147 0 61124 affiliateguide/guide.pdf 200 GET
2017-12-16 16:41:28.886 5.512876 0.004505 0 1824555 android/Bell/Kobo-v2.3.271.apk 200 GET
2017-12-16 16:41:34.886 6.139253 0.005186 0 2126573 android/hutchisonhk/Kobo-v2.5.319.apk 200 GET
2017-12-16 16:41:14.886 27.563764 0.111054 0 56141088 /desktop/0-2/KoboSetup.exe 200 GET
2017-12-16 16:41:39.886 2.824683 0.000066 0 48745 apollohd/config/australia.tap 200 GET
2017-12-16 16:41:41.886 1.653648 0.000073 0 48745 apollohd/config/austria.tap 200 GET
2017-12-16 16:41:42.886 2.449183 0.000381 0 187965 apollohd/config/austria.zip 200 GET
2017-12-16 16:41:43.886 1.712989 0.000162 0 48745 apollohd/config/canada.tap 200 GET
2017-12-16 16:41:32.886 18.150688 0.006256 0 5428962 android/bell/Kobo-v3.2.1509.apk 200 GET
2017-12-16 16:41:23.886 30.042537 0.004945 0 3879925 TestMe.pdf 200 GET
2017-12-16 16:41:29.886 25.607236 0.003902 0 2126573 android/Bell/Kobo-v2.5.317.apk 200 GET
2017-12-16 16:41:44.886 11.089824 0.003240 0 1875533 apollohd/config/canada.zip 200 GET
2017-12-16 16:41:40.886 16.675152 0.002513 0 1875533 apollohd/config/australia.zip 200 GET
2017-12-16 16:41:55.886 1.922979 0.000129 0 48997 apollojr/config/australia.tap 200 GET
2017-12-16 16:41:54.886 5.178974 0.002086 0 1962045 apollojr/apollojr-update-232-235.zip 200 GET
2017-12-16 16:41:58.886 2.172711 0.000119 0 48997 apollojr/config/canada.tap 200 GET
2017-12-16 16:41:31.886 29.480234 0.000842 0 465935 android/Shortcovers.apk 200 GET
2017-12-16 16:41:52.886 9.153258 0.000747 0 405862 apollojr/affiliates/demo/com.kobo.demo.video-1371.apk 200 GET
2017-12-16 16:41:51.886 11.045493 0.001689 0 400547 apollojr/affiliates/DemoVideoService.apk 200 GET
2017-12-16 16:41:57.886 9.831192 0.000286 0 184561 apollojr/config/austria.zip 200 GET
2017-12-16 16:41:18.886 50.716883 0.068166 0 56132152 DESKTOP/KOBODESKTOP/KOBOSETUP.EXE 200 GET
2017-12-16 16:41:56.886 13.503147 0.001467 0 1651070 apollojr/config/australia.zip 200 GET
