#yyy-mm-dd hh:mm:ss latency xfertime thinktime bytes url rc op
2017-12-29 10:00:30.440 0.002632 0.000026 0 0 images/00000000-0000-0000-0000-000000000000/100/100/80/False/name.gif 200 GET
2017-12-29 10:00:30.462 0.000723 0.000004 0 0 images/00000a98-e44d-4604-896b-0c59f3f8c039 200 GET
2017-12-29 10:00:30.605 0.000600 0.000016 0 0 images/00001007-4b76-4538-9d57-09d5138f4e80 200 GET
2017-12-29 10:00:30.769 0.000461 0.000004 0 0 images/00000f65-b05b-4d18-a404-002cff436649 200 GET
2017-12-29 10:00:30.779 0.000743 0.000008 0 0 images/00000217-2457-461a-bc58-0fc427923219 200 GET
2017-12-29 10:00:30.779 0.091167 0.000005 0 0 images/00001617-3be0-4f18-b48c-1dd3c90bd529 200 GET
2017-12-29 10:00:30.780 0.189928 0.000005 0 0 images/00001200-46cb-4318-bc3e-18e9cec8acd9 200 GET
2017-12-29 10:00:31.000 0.070627 0.000005 0 0 images/00001b75-1c6c-4bab-8114-d57a29f93409 200 GET
2017-12-29 10:00:31.043 0.128040 0.000003 0 0 images/0000146b-ecfc-43be-aeb0-1432b7655bb9 200 GET
2017-12-29 10:00:31.209 0.062234 0.000006 0 0 images/000025bc-a611-45a7-9940-0c5770deba0a 200 GET
2017-12-29 10:00:31.440 0.000303 0.000002 0 0 images/00000457-ebd9-4bc6-b195-183a3f034695 200 GET
2017-12-29 10:00:31.462 0.009484 0.000003 0 0 images/000034a2-582a-42cf-a53b-3dc38ebcf977 200 GET
2017-12-29 10:00:31.605 0.000613 0.000005 0 0 images/00002d97-9a91-4031-972e-6e4ad76c8174 200 GET
2017-12-29 10:00:31.769 0.000727 0.000006 0 0 images/00003b71-e722-4c3d-9eb9-32f51529bfbf 200 GET
2017-12-29 10:00:31.779 0.000628 0.000004 0 0 images/0000536c-0165-4e9f-9003-3d0a657803d6 200 GET
2017-12-29 10:00:31.779 0.093352 0.000006 0 0 images/000045c1-c396-4a5e-80c1-3f8463a7c7fb 200 GET
2017-12-29 10:00:31.780 0.192234 0.000005 0 0 images/0000393f-66d3-40db-9fe3-fde88e936795 200 GET
2017-12-29 10:00:32.000 0.072531 0.000004 0 0 images/000054ee-49c1-493e-8471-35f7a1f35d02 200 GET
2017-12-29 10:00:32.042 0.130657 0.000007 0 0 images/000067c9-d8fb-4df6-b104-03803fb6736b 200 GET
2017-12-29 10:00:32.209 0.064455 0.000007 0 0 images/00005ede-9681-45b0-8319-934de397d692 200 GET
2017-12-29 10:00:32.440 0.000649 0.000005 0 0 images/00005660-7f42-485c-95c0-f5f938b4bb79 200 GET
2017-12-29 10:00:32.462 0.011515 0.000006 0 0 images/000068b6-1a24-4d77-8b78-35fd1c6f6890 200 GET
2017-12-29 10:00:32.605 0.000682 0.000005 0 0 images/00006980-8760-4539-8f52-06facf356d13 200 GET
