$ vmstat -t -S m 10 100 | tee vmtat-M.txt
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 1  0      0 197717    265  27305    0    0     0    18    0    0  1  1 98  0  0 2017-09-08 12:32:38
 0  0      0 197715    265  27305    0    0     0   579 10937 19334  1  1 98  0  0 2017-09-08 12:32:48
 0  0      0 197712    265  27305    0    0     0   825 17599 31597  1  1 98  0  0 2017-09-08 12:32:58
 2  0      0 197716    265  27305    0    0     0   766 17921 31758  1  1 98  0  0 2017-09-08 12:33:08
 1  0      0 197695    265  27306    0    0     0   743 17093 31375  1  1 98  0  0 2017-09-08 12:33:18
20  1  0      0 197702    265  27307    0    0     0   923 23922 43156  1  1 98  0  0 2017-09-08 12:33:28
 1  0      0 197702    265  27308    0    0     0  1001 23850 42657  2  1 97  0  0 2017-09-08 12:33:38
 0  0      0 197702    265  27310    0    0     0  1149 20370 33858  2  1 97  0  0 2017-09-08 12:33:48
30  0  0      0 197697    265  27313    0    0     0  1551 27638 47752  1  1 97  0  0 2017-09-08 12:33:58
 2  0      0 197919    265  27318    0    0     0  1863 31838 50881  2  1 97  0  0 2017-09-08 12:34:08
 0  0      0 197890    265  27322    0    0     0  1556 34116 61731  2  2 96  0  0 2017-09-08 12:34:18
40  0  0      0 197883    265  27334    0    0     0  5010 50241 90507  3  2 95  0  0 2017-09-08 12:34:28
 0  0      0 197752    265  27350    0    0     0  6218 52911 94290  4  2 94  0  0 2017-09-08 12:34:38
 1  0      0 197734    265  27359    0    0     0  8449 53442 95570  4  2 94  0  0 2017-09-08 12:34:48
0  1  0      0 197737    265  27367    0    0     0  4832 50599 91886  2  2 96  0  0 2017-09-08 12:34:58
 0  0      0 197701    265  27367    0    0     0  1134 14279 24781  1  2 97  0  0 2017-09-08 12:35:08
 1  0      0 197708    265  27367    0    0     0   870 13025 21936  3  2 96  0  0 2017-09-08 12:35:18
 0  0      0 197797    265  27367    0    0     0  1370 13211 24759  2  1 97  0  0 2017-09-08 12:35:28
 0  0      0 197804    265  27368    0    0     0  3179 18461 34634  1  1 98  0  0 2017-09-08 12:35:38
 0  0      0 197795    265  27368    0    0     0   988 12039 21954  2  1 97  0  0 2017-09-08 12:35:48
 0  0      0 197797    265  27369    0    0     0   953 13678 24850  1  1 98  0  0 2017-09-08 12:35:58
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 197799    265  27369    0    0     0   533 11726 20868  1  1 98  0  0 2017-09-08 12:36:08
 0  0      0 197791    265  27369    0    0     0   645 11712 21030  1  1 98  0  0 2017-09-08 12:36:18
 0  0      0 197801    265  27368    0    0     0   579 11499 20412  1  1 98  0  0 2017-09-08 12:36:28
 0  0      0 197802    265  27366    0    0     0  2010 11074 19962  1  1 98  0  0 2017-09-08 12:36:38
 1  0      0 197798    265  27367    0    0     0   531 11517 21053  1  1 98  0  0 2017-09-08 12:36:48
 0  0      0 197800    265  27367    0    0     0   654 13276 23608  2  1 97  0  0 2017-09-08 12:36:58
 0  0      0 197794    265  27367    0    0     0   819 11097 19955  1  1 98  0  0 2017-09-08 12:37:08
 0  0      0 197776    265  27366    0    0     0   573 11376 20833  1  1 98  0  0 2017-09-08 12:37:18

