#date	time	latency	xfertime	sleeptime	bytes	transactions
2017-09-19	14:58:29	0.053107	0.101238	0	56996	175
2017-09-19	14:58:30	0.043435	0.030582	0	30728	199
2017-09-19	14:55:36	0.109584	0.451348	0	58928	164
2017-09-19	14:55:37	0.15209	0.571849	0	35058	399
2017-09-19	14:53:33	0.614137	2.184438	0	41387	586
2017-09-19	14:53:34	0.920041	2.370915	0	64412	799
2017-09-19	13:41:29	0.883657	3.498168	0	47605	999
2017-09-19	13:44:22	1.395046	5.312705	0	57847	1199
2017-09-19	13:46:36	3.594768	3.595417	0	53579	1347
2017-09-19	13:46:37	4.068737	5.018667	0	79208	1399
2017-09-19	14:49:19	3.352102	7.378303	0	61125	1599
2017-09-19	13:58:24	6.580566	9.680142	0	67045	2585
2017-09-19	13:58:25	3.568815	4.428462	0	26508	3198
