#date time latency xfertime thinktime bytes transactions
2017-09-19 15:02:10 0.052539 0.087764 0.000000 149953 9
2017-09-19 15:02:11 0.043019 0.088260 0.000000 160724 9
2017-09-19 15:02:12 0.055242 0.114089 0.000000 296269 9
2017-09-19 15:02:13 0.044172 0.013059 0.000000 30823 9
2017-09-19 15:02:14 0.043389 0.013431 0.000000 33106 9
2017-09-19 15:02:15 0.050074 0.021578 0.000000 31188 17
2017-09-19 15:02:16 0.040399 0.013055 0.000000 33104 19
2017-09-19 15:02:17 0.040615 0.013036 0.000000 34140 19
2017-09-19 15:02:18 0.041174 0.016404 0.000000 37900 19
2017-09-19 15:02:19 0.043858 0.012492 0.000000 29247 19
2017-09-19 15:02:20 0.043939 0.010644 0.000000 31130 28
2017-09-19 15:02:21 0.042168 0.010638 0.000000 34243 29
2017-09-19 15:02:22 0.039044 0.011496 0.000000 29725 29
2017-09-19 15:02:23 0.039913 0.014552 0.000000 33064 29
2017-09-19 15:02:24 0.039371 0.011382 0.000000 30846 29
2017-09-19 15:02:25 0.040493 0.013240 0.000000 35935 34
2017-09-19 15:02:26 0.038916 0.008842 0.000000 28296 39
2017-09-19 15:02:27 0.042537 0.022115 0.000000 54790 39
2017-09-19 15:02:28 0.042001 0.015275 0.000000 43080 39
2017-09-19 15:02:29 0.044710 0.008846 0.000000 34239 39
2017-09-19 15:02:30 0.044366 0.009342 0.000000 37969 48
2017-09-19 15:02:31 0.040426 0.006439 0.000000 27871 49
2017-09-19 15:02:32 0.044020 0.005624 0.000000 28507 49
2017-09-19 15:02:33 0.043057 0.007740 0.000000 29362 49
2017-09-19 15:02:34 0.044806 0.009019 0.000000 31327 49
2017-09-19 15:02:35 0.042097 0.008185 0.000000 30804 56
2017-09-19 15:02:36 0.046268 0.019044 0.000000 52813 59
2017-09-19 15:02:37 0.050642 0.039248 0.000000 80717 59
2017-09-19 15:02:38 0.044804 0.010349 0.000000 38025 59
2017-09-19 15:02:39 0.048639 0.056004 0.000000 104772 59
2017-09-19 15:02:40 0.047356 0.016472 0.000000 52968 67
2017-09-19 15:02:41 0.047834 0.012791 0.000000 45191 69
2017-09-19 15:02:42 0.048241 0.048373 0.000000 110732 69
2017-09-19 15:02:43 0.064451 0.143108 0.000000 133194 69
2017-09-19 15:02:44 0.050485 0.040573 0.000000 77619 69
2017-09-19 15:02:45 0.044780 0.026962 0.000000 63270 77
2017-09-19 15:02:46 0.045440 0.017994 0.000000 47691 79
2017-09-19 15:02:47 0.049321 0.019039 0.000000 50689 79
2017-09-19 15:02:48 0.049077 0.028721 0.000000 78041 79
2017-09-19 15:02:49 0.048589 0.019039 0.000000 62029 79
2017-09-19 15:02:50 0.047482 0.015281 0.000000 56197 85
2017-09-19 15:02:51 0.047938 0.051256 0.000000 72146 89
2017-09-19 15:02:52 0.070103 0.219918 0.000000 118229 89
2017-09-19 15:02:53 0.047772 0.039008 0.000000 51133 89
2017-09-19 15:02:54 0.060747 0.218490 0.000000 126883 89
2017-09-19 15:02:55 0.061482 0.216783 0.000000 114617 95
2017-09-19 15:02:56 0.052771 0.149849 0.000000 90634 99
2017-09-19 15:02:57 0.058114 0.181959 0.000000 85186 99
2017-09-19 15:02:58 0.078825 0.541903 0.000000 135546 99
2017-09-19 15:02:59 0.054966 0.075373 0.000000 41048 99
2017-09-19 15:03:00 0.047485 0.167161 0.000000 72440 106
2017-09-19 15:03:01 0.059561 0.173117 0.000000 63753 109
2017-09-19 15:03:02 0.052687 0.141053 0.000000 86638 109
2017-09-19 15:03:03 0.046638 0.057049 0.000000 55728 109
2017-09-19 15:03:04 0.050476 0.075647 0.000000 74364 109
2017-09-19 15:03:05 0.057363 0.105162 0.000000 76592 118
2017-09-19 15:03:06 0.046843 0.043811 0.000000 55796 119
2017-09-19 15:03:07 0.046401 0.022654 0.000000 39752 119
2017-09-19 15:03:08 0.046009 0.031011 0.000000 53475 119
2017-09-19 15:03:09 0.044182 0.005053 0.000000 15974 119
2017-09-19 15:03:10 0.046457 0.029471 0.000000 54831 126
2017-09-19 15:03:11 0.045346 0.011434 0.000000 37943 129
2017-09-19 15:03:12 0.052184 0.012943 0.000000 35214 129
2017-09-19 15:03:13 0.045782 0.008643 0.000000 24663 129
2017-09-19 15:03:14 0.048110 0.031678 0.000000 57448 129
2017-09-19 15:03:15 0.052127 0.046279 0.000000 70892 137
2017-09-19 15:03:16 0.052535 0.044779 0.000000 59007 139
2017-09-19 15:03:17 0.045538 0.024184 0.000000 43940 139
2017-09-19 15:03:18 0.055193 0.125141 0.000000 73391 139
2017-09-19 15:03:19 0.066311 0.219989 0.000000 59616 139
2017-09-19 15:03:20 0.043959 0.030001 0.000000 26453 147
2017-09-19 15:03:21 0.045163 0.022289 0.000000 26041 149
2017-09-19 15:03:22 0.047480 0.047258 0.000000 46976 149
2017-09-19 15:03:23 0.045846 0.027004 0.000000 38418 149
2017-09-19 15:03:24 0.059687 0.232796 0.000000 91225 149
2017-09-19 15:03:25 0.096230 0.543145 0.000000 79397 157
2017-09-19 15:03:26 0.070861 0.132746 0.000000 36681 159
2017-09-19 15:03:27 0.043660 0.031262 0.000000 23463 159
2017-09-19 15:03:28 0.044865 0.048115 0.000000 37192 159
2017-09-19 15:03:29 0.058136 0.182741 0.000000 61640 159
2017-09-19 15:03:30 0.050763 0.130435 0.000000 56088 165
2017-09-19 15:03:31 0.059483 0.163757 0.000000 70856 169
2017-09-19 15:03:32 0.051353 0.066744 0.000000 39355 169
2017-09-19 15:03:33 0.070098 1.212268 0.000000 103165 169
2017-09-19 15:03:34 0.128206 2.836983 0.000000 115951 169
2017-09-19 15:03:35 0.106931 3.420060 0.000000 114356 176
2017-09-19 15:03:36 0.119022 1.288463 0.000000 33614 179
2017-09-19 15:03:37 0.161854 2.599871 0.000000 62362 179
2017-09-19 15:03:38 0.149325 2.718651 0.000000 71179 179
2017-09-19 15:03:39 0.154704 3.187271 0.000000 77164 179
2017-09-19 15:03:40 0.223499 1.962484 0.000000 51840 187
2017-09-19 15:03:41 0.200819 2.381728 0.000000 46189 189
2017-09-19 15:03:42 0.175785 5.655506 0.000000 96245 189
