#date time latency xfertime thinktime bytes transactions
2017-09-20 15:06:37 0.034056 0.007461 0.000000 45301 1153
2017-09-20 15:06:38 0.180282 0.039720 0.000000 81278 1199
2017-09-20 15:06:39 0.463307 0.037867 0.000000 74692 1199
2017-09-20 15:06:40 0.267023 0.021217 0.000000 43473 1199
2017-09-20 15:06:41 0.189311 0.019800 0.000000 50507 1199
2017-09-20 15:06:42 0.119013 0.017088 0.000000 51924 1199
2017-09-20 15:06:43 0.383200 0.037327 0.000000 78457 1199
2017-09-20 15:06:44 1.680021 0.038372 0.000000 78122 1197
2017-09-20 15:06:45 9.047064 0.018815 0.000000 55464 1199
2017-09-20 15:06:46 9.372189 0.019771 0.000000 68641 1199
2017-09-20 15:06:47 11.467823 0.006686 0.000000 55348 46
2017-09-20 15:07:21 1.372564 35.218711 0.000000 0 1
2017-09-20 15:07:25 1.278944 39.385357 0.000000 0 1
