#yyy-mm-dd hh:mm:ss latency xfertime sleeptime bytes url rc op
2017-12-10 16:39:08.511 0.002729 0.000288 0 12530 /15b00a26-9ba3-4649-8477-c48bcab90dc7 200 GET 
2017-12-10 16:39:08.851 0.207036 0.182067 0 100820 /3d6f097e-a72b-4b3b-8f1b-28dd267264e0 200 GET
2017-12-10 16:39:08.851 0.399414 0.000105 0 10453 /c1835a49-32d9-41f9-b0f6-cad6d3d766e6 200 GET
2017-12-10 16:39:09.072 0.211240 0.018344 0 106151 /c038cf95-4388-4573-bcc9-bb7cc197a5a9 200 GET
2017-12-10 16:39:09.114 0.173847 0.014042 0 107055 /296de19a-6bdb-4b28-9d76-a5948e24012f 200 GET
2017-12-10 16:39:09.280 0.021219 0.000187 0 10706 /8af3c591-8b63-493d-9fc2-b5e2c6385552 200 GET
2017-12-10 16:39:08.852 0.406632 0.056028 0 1052974 /9daa8541-8bae-4cb1-91dc-992e0abc54ae 200 GET
2017-12-10 16:39:09.511 0.011729 0.000722 0 109057 /533175b9-e6c3-4c86-add9-dfb137406c07 200 GET
2017-12-10 16:39:09.533 0.001600 0.000508 0 110070 /dd9b6880-fba0-40b5-b047-a66bb2bc976b 200 GET
2017-12-10 16:39:09.676 0.001561 0.000674 0 111194 /75fd8c28-6881-422d-87a3-4a8bded06ed1 200 GET
2017-12-10 16:39:09.841 0.028512 0.013496 0 1172948 /4dbeef2a-ff7b-473d-b93a-205e603e2fdf 200 GET
2017-12-10 16:39:09.852 0.045314 0.000062 0 12001 /ac0bf744-164c-4641-b186-4b4dea4fa613 200 GET
2017-12-10 16:39:09.851 0.031340 0.015609 0 117971 /e04c2330-194f-4c5c-8710-165619d763cf 200 GET
2017-12-10 16:39:09.851 0.046042 0.001789 0 119613 /1b4b1ea3-a327-4ac2-9572-ca88b2f181d6 200 GET
2017-12-10 16:39:10.072 0.001737 0.001769 0 121085 /8488a067-916b-404d-8a27-83fc41d1df44 200 GET
2017-12-10 16:39:10.114 0.013911 0.000115 0 12115 /f5995b49-0463-4ea5-bd13-13345469534a 200 GET
2017-12-10 16:39:10.280 0.013020 0.000421 0 12759 /99e08aef-0f80-4d4e-9709-bcaf7094329c 200 GET
2017-12-10 16:39:10.511 0.013147 0.000481 0 12821 /ae4b83f9-243c-46ac-86e6-e6e59933a30b 200 GET
2017-12-10 16:39:10.533 0.012139 0.001943 0 129262 /d5901a3c-0bbc-4168-b814-688d7e177bc8 200 GET
2017-12-10 16:39:10.676 0.001209 0.000088 0 12950 /0fac7cb2-7cc0-4f8a-b085-de42ab48c386 200 GET
2017-12-10 16:39:10.840 0.001785 0.001726 0 130392 /c2a2558c-1647-437d-862e-212c64631cc8 200 GET
2017-12-10 16:39:10.851 0.012749 0.000089 0 13177 /e2adb39d-b33d-4e11-a24e-ae2f8e7ce54f 200 GET
2017-12-10 16:39:10.851 0.014561 0.000060 0 13286 /e989ae9d-e32e-422b-80e8-24b50b355d8d 200 GET
2017-12-10 16:39:10.852 0.019012 0.000065 0 13311 /ac6ac895-a88c-4300-ae02-b9ba77428a5f 200 GET
2017-12-10 16:39:11.072 0.001899 0.001144 0 139439 /0004946e-d822-49e9-b781-6954ad2e894d 200 GET
2017-12-10 16:39:11.114 0.005611 0.000091 0 14052 /002cdeb6-d21a-4815-b697-9f50f4ba641a 200 GET
2017-12-10 16:39:11.280 0.006392 0.000091 0 14594 /e884ea9b-5cfd-456f-b377-01bf1c197468 200 GET
2017-12-10 16:39:11.511 0.001575 0.002040 0 146082 /52e602f1-a09a-4759-8f3a-3481ace9d445 200 GET
2017-12-10 16:39:11.533 0.001224 0.000158 0 14756 /284e47b5-a853-4d72-89a4-c20f6a4c0aee 200 GET
2017-12-10 16:39:11.676 0.012264 0.001185 0 148777 /e6ec1fe2-ab51-41ae-be30-c432a2d59b49 200 GET
2017-12-10 16:39:11.841 0.001368 0.000120 0 14917 /75598665-22a2-45f3-851b-6a27c72206d9 200 GET
2017-12-10 16:39:11.850 0.010974 0.000867 0 149310 /9c6fe2fd-5410-4c34-ba34-bf5d4b8c38be 200 GET
2017-12-10 16:39:11.851 0.019738 0.000237 0 15027 /4de2706e-6af7-421c-9aab-0a0eaaa6059f 200 GET
2017-12-10 16:39:11.852 0.028588 0.000461 0 15175 /77f4eee8-a2be-4ca6-ad7b-96f5a47dd07c 200 GET
2017-12-10 16:39:12.072 0.007393 0.000327 0 15443 /f150feb1-f53a-460e-9a7e-d1fe5c088474 200 GET
2017-12-10 16:39:12.114 0.000967 0.000213 0 15669 /d6cd20c5-ad46-4f48-a213-62519fbd2fbf 200 GET
2017-12-10 16:39:12.280 0.015412 0.001922 0 160470 /690262f8-ff57-4c8f-9d19-b64c31170af4 200 GET
2017-12-10 16:39:12.511 0.012354 0.000115 0 16099 /4e7b6fa5-9ab5-415e-b5e1-9b5142657b19 200 GET
2017-12-10 16:39:12.533 0.023160 0.001424 0 175363 /41838891-52f1-486f-9f34-37d73d19cb41 200 GET
2017-12-10 16:39:12.676 0.001161 0.000115 0 17913 /a6d9a36a-1ded-4844-b036-936a6b21b0c1 200 GET
