#yyy-mm-dd hh:mm:ss latency xfertime thinktime bytes url rc op
2018-01-19 16:17:56.264 0.012072 0.000120 0 8478 data.dat 200 GET
2018-01-19 16:17:56.406 0.000770 0.000050 0 1024 data.dat 200 GET
2018-01-19 16:17:56.571 0.000958 0.000251 0 8478 data.dat 200 GET
2018-01-19 16:17:56.581 0.000642 0.000026 0 1024 data.dat 200 GET
2018-01-19 16:17:56.581 0.001048 0.000204 0 8478 data.dat 200 GET
2018-01-19 16:17:56.582 0.000572 0.000095 0 12530 data.dat 200 GET
2018-01-19 16:17:56.802 0.000771 0.000261 0 178 data.dat 200 GET
2018-01-19 16:17:57.241 0.012687 0.001279 0 100820 data.dat 200 GET
2018-01-19 16:17:57.264 0.013157 0.000107 0 10453 data.dat 200 GET
2018-01-19 16:17:57.407 0.012032 0.011892 0 1052974 data.dat 200 GET
2018-01-19 16:17:57.571 0.016240 0.000659 0 106151 data.dat 200 GET
2018-01-19 16:17:57.581 0.011114 0.000079 0 10706 data.dat 200 GET
2018-01-19 16:17:57.581 0.010782 0.013558 0 107055 data.dat 200 GET
2018-01-19 16:17:57.582 0.023276 0.001395 0 109057 data.dat 200 GET
2018-01-19 16:17:57.802 0.001763 0.000922 0 110070 data.dat 200 GET
2018-01-19 16:17:57.844 0.001356 0.000957 0 111194 data.dat 200 GET
2018-01-19 16:17:58.011 0.018323 0.013846 0 1172948 data.dat 200 GET
2018-01-19 16:17:58.242 0.001327 0.000891 0 117971 data.dat 200 GET
2018-01-19 16:17:58.264 0.014789 0.000468 0 119613 data.dat 200 GET
2018-01-19 16:17:58.407 0.010620 0.000194 0 12001 data.dat 200 GET
2018-01-19 16:17:58.571 0.001604 0.000780 0 121085 data.dat 200 GET
2018-01-19 16:17:58.581 0.005345 0.000158 0 12759 data.dat 200 GET
2018-01-19 16:17:58.581 0.017304 0.000213 0 12115 data.dat 200 GET
2018-01-19 16:17:58.582 0.024655 0.000132 0 12821 data.dat 200 GET
2018-01-19 16:17:58.802 0.014329 0.001531 0 129262 data.dat 200 GET
2018-01-19 16:17:58.844 0.001117 0.000189 0 12950 data.dat 200 GET
2018-01-19 16:17:59.011 0.001768 0.001247 0 130392 data.dat 200 GET
2018-01-19 16:17:59.242 0.014697 0.000155 0 13177 data.dat 200 GET
2018-01-19 16:17:59.264 0.001063 0.000092 0 13286 data.dat 200 GET
2018-01-19 16:17:59.407 0.012253 0.000520 0 13311 data.dat 200 GET
2018-01-19 16:17:59.572 0.001690 0.001705 0 139439 data.dat 200 GET
2018-01-19 16:17:59.581 0.009549 0.000154 0 14594 data.dat 200 GET
2018-01-19 16:17:59.581 0.020017 0.000180 0 14052 data.dat 200 GET
2018-01-19 16:17:59.582 0.019916 0.001638 0 146082 data.dat 200 GET
2018-01-19 16:17:59.802 0.001294 0.000110 0 14756 data.dat 200 GET
2018-01-19 16:17:59.845 0.014852 0.001076 0 148777 data.dat 200 GET
2018-01-19 16:18:00.011 0.004310 0.000127 0 14917 data.dat 200 GET
2018-01-19 16:18:00.242 0.012439 0.001265 0 149310 data.dat 200 GET
2018-01-19 16:18:00.265 0.009898 0.000132 0 15027 data.dat 200 GET
2018-01-19 16:18:00.407 0.010562 0.000084 0 15175 data.dat 200 GET
2018-01-19 16:18:00.572 0.011258 0.000090 0 15443 data.dat 200 GET
2018-01-19 16:18:00.581 0.003352 0.000276 0 15669 data.dat 200 GET
2018-01-19 16:18:00.581 0.018580 0.002219 0 160470 data.dat 200 GET
2018-01-19 16:18:00.583 0.023242 0.000204 0 16099 data.dat 200 GET
2018-01-19 16:18:00.803 0.024524 0.001738 0 175363 data.dat 200 GET
2018-01-19 16:18:00.845 0.001132 0.000078 0 17913 data.dat 200 GET
2018-01-19 16:18:01.012 0.001208 0.000259 0 21372 data.dat 200 GET
2018-01-19 16:18:01.242 0.009848 0.001892 0 217299 data.dat 200 GET
2018-01-19 16:18:01.265 0.002054 0.001504 0 224738 data.dat 200 GET
2018-01-19 16:18:01.407 0.002747 0.002045 0 234747 data.dat 200 GET
2018-01-19 16:18:01.572 0.014004 0.044367 0 2527695 data.dat 200 GET
2018-01-19 16:18:01.582 0.060166 0.002763 0 258269 data.dat 200 GET
2018-01-19 16:18:01.582 0.071141 0.002456 0 259542 data.dat 200 GET
2018-01-19 16:18:01.583 0.079482 0.002807 0 262229 data.dat 200 GET
2018-01-19 16:18:01.803 0.001190 0.000149 0 26712 data.dat 200 GET
2018-01-19 16:18:01.845 0.013972 0.000062 0 2771 data.dat 200 GET
2018-01-19 16:18:02.012 0.008690 0.002533 0 301171 data.dat 200 GET
2018-01-19 16:18:02.242 0.000572 0.002605 0 301292 data.dat 200 GET
2018-01-19 16:18:02.265 0.001236 0.000091 0 31330 data.dat 200 GET
2018-01-19 16:18:02.408 0.001201 0.000068 0 3339 data.dat 200 GET
2018-01-19 16:18:02.572 0.004892 0.000620 0 33840 data.dat 200 GET
2018-01-19 16:18:02.582 0.005593 0.000282 0 34204 data.dat 200 GET
2018-01-19 16:18:02.582 0.006140 0.000586 0 34281 data.dat 200 GET
2018-01-19 16:18:02.583 0.005807 0.000503 0 38086 data.dat 200 GET
2018-01-19 16:18:02.803 0.007639 0.000037 0 3916 data.dat 200 GET
2018-01-19 16:18:02.845 0.016746 0.003691 0 403572 data.dat 200 GET
2018-01-19 16:18:03.012 0.004132 0.000121 0 4285 data.dat 200 GET
2018-01-19 16:18:03.242 0.002929 0.000059 0 4483 data.dat 200 GET
2018-01-19 16:18:03.265 0.002094 0.075810 0 4642783 data.dat 200 GET
2018-01-19 16:18:03.408 0.001119 0.000079 0 4746 data.dat 200 GET
2018-01-19 16:18:03.572 0.001234 0.000339 0 49710 data.dat 200 GET
2018-01-19 16:18:03.582 0.008526 0.000092 0 4977 data.dat 200 GET
2018-01-19 16:18:03.582 0.019980 0.004559 0 508529 data.dat 200 GET
2018-01-19 16:18:03.583 0.028745 0.001024 0 51586 data.dat 200 GET
2018-01-19 16:18:03.803 0.008048 0.000330 0 52357 data.dat 200 GET
2018-01-19 16:18:03.845 0.000933 0.000055 0 5249 data.dat 200 GET
2018-01-19 16:18:04.013 0.009542 0.000095 0 5314 data.dat 200 GET
2018-01-19 16:18:04.243 0.011680 0.000342 0 54199 data.dat 200 GET
2018-01-19 16:18:04.266 0.018230 0.000142 0 5517 data.dat 200 GET
2018-01-19 16:18:04.408 0.011780 0.000282 0 56447 data.dat 200 GET
2018-01-19 16:18:04.573 0.010401 0.000091 0 5657 data.dat 200 GET
2018-01-19 16:18:04.582 0.004216 0.000077 0 5661 data.dat 200 GET
2018-01-19 16:18:04.582 0.007787 0.000090 0 5912 data.dat 200 GET
2018-01-19 16:18:04.583 0.012533 0.000909 0 59578 data.dat 200 GET
2018-01-19 16:18:04.804 0.013338 0.000528 0 61924 data.dat 200 GET
2018-01-19 16:18:04.846 0.009383 0.000066 0 6371 data.dat 200 GET
2018-01-19 16:18:05.013 0.001290 0.000142 0 6408 data.dat 200 GET
2018-01-19 16:18:05.243 0.013170 0.000070 0 6423 data.dat 200 GET
2018-01-19 16:18:05.266 0.008554 0.005470 0 645989 data.dat 200 GET
2018-01-19 16:18:05.409 0.011832 0.000179 0 6632 data.dat 200 GET
2018-01-19 16:18:05.573 0.000905 0.000102 0 6642 data.dat 200 GET
2018-01-19 16:18:05.583 0.002349 0.000090 0 6816 data.dat 200 GET
2018-01-19 16:18:05.583 0.014087 0.000096 0 6710 data.dat 200 GET
2018-01-19 16:18:05.583 0.021149 0.000849 0 69616 data.dat 200 GET
2018-01-19 16:18:05.804 0.005655 0.000468 0 70193 data.dat 200 GET
2018-01-19 16:18:05.846 0.013502 0.000143 0 7113 data.dat 200 GET
2018-01-19 16:18:06.013 0.010737 0.000097 0 7172 data.dat 200 GET
#TPS=20,40
2018-01-19 16:18:06.240 0.012626 0.007306 0 719945 data.dat 200 GET
2018-01-19 16:18:06.243 0.022214 0.001024 0 73520 data.dat 200 GET
2018-01-19 16:18:06.266 0.001444 0.000458 0 73525 data.dat 200 GET
2018-01-19 16:18:06.317 0.005111 0.000078 0 7364 data.dat 200 GET
2018-01-19 16:18:06.319 0.003857 0.001170 0 75532 data.dat 200 GET
2018-01-19 16:18:06.328 0.001076 0.000078 0 7590 data.dat 200 GET
2018-01-19 16:18:06.409 0.001438 0.000523 0 78391 data.dat 200 GET
2018-01-19 16:18:06.409 0.002033 0.000559 0 80805 data.dat 200 GET
2018-01-19 16:18:06.416 0.001370 0.000557 0 81144 data.dat 200 GET
2018-01-19 16:18:06.425 0.009806 0.000118 0 8155 data.dat 200 GET
2018-01-19 16:18:06.484 0.001598 0.000664 0 82399 data.dat 200 GET
2018-01-19 16:18:06.538 0.000993 0.000063 0 8500 data.dat 200 GET
2018-01-19 16:18:06.559 0.001544 0.000463 0 85224 data.dat 200 GET
2018-01-19 16:18:06.573 0.001225 0.000750 0 85294 data.dat 200 GET
2018-01-19 16:18:06.583 0.013206 0.000089 0 8624 data.dat 200 GET
2018-01-19 16:18:06.583 0.013835 0.000647 0 85991 data.dat 200 GET
2018-01-19 16:18:06.583 0.026017 0.000883 0 88923 data.dat 200 GET
2018-01-19 16:18:06.648 0.001162 0.000073 0 8959 data.dat 200 GET
2018-01-19 16:18:06.664 0.001132 0.000083 0 9373 data.dat 200 GET
2018-01-19 16:18:06.804 0.001128 0.000125 0 9488 data.dat 200 GET
2018-01-19 16:18:06.846 0.001188 0.000113 0 9854 data.dat 200 GET
2018-01-19 16:18:06.850 0.001136 0.000201 0 9883 data.dat 200 GET
2018-01-19 16:18:06.862 0.000846 0.000085 0 178 data.dat 200 GET
2018-01-19 16:18:06.910 0.000746 0.000102 0 178 data.dat 200 GET
2018-01-19 16:18:06.914 0.000589 0.000118 0 178 data.dat 200 GET
2018-01-19 16:18:06.933 0.000761 0.000129 0 178 data.dat 200 GET
2018-01-19 16:18:07.013 0.000709 0.000095 0 178 data.dat 200 GET
2018-01-19 16:18:07.168 0.001478 0.001219 0 101307 data.dat 200 GET
2018-01-19 16:18:07.240 0.001044 0.000087 0 10709 data.dat 200 GET
2018-01-19 16:18:07.243 0.001666 0.000445 0 108279 data.dat 200 GET
2018-01-19 16:18:07.266 0.016576 0.012218 0 1085716 data.dat 200 GET
2018-01-19 16:18:07.317 0.001071 0.000075 0 11089 data.dat 200 GET
2018-01-19 16:18:07.319 0.001007 0.000084 0 11099 data.dat 200 GET
2018-01-19 16:18:07.328 0.001090 0.000116 0 11105 data.dat 200 GET
2018-01-19 16:18:07.409 0.001314 0.000124 0 11244 data.dat 200 GET
2018-01-19 16:18:07.409 0.012706 0.011880 0 1135698 data.dat 200 GET
2018-01-19 16:18:07.425 0.009157 0.000126 0 11606 data.dat 200 GET
2018-01-19 16:18:07.416 0.017463 0.015210 0 1160089 data.dat 200 GET
2018-01-19 16:18:07.485 0.001096 0.000077 0 11896 data.dat 200 GET
2018-01-19 16:18:07.538 0.001076 0.000130 0 12073 data.dat 200 GET
2018-01-19 16:18:07.560 0.001084 0.000061 0 12284 data.dat 200 GET
2018-01-19 16:18:07.573 0.001225 0.000097 0 12368 data.dat 200 GET
2018-01-19 16:18:07.583 0.007614 0.000082 0 12871 data.dat 200 GET
2018-01-19 16:18:07.583 0.012692 0.000438 0 12885 data.dat 200 GET
2018-01-19 16:18:07.584 0.020555 0.001063 0 131282 data.dat 200 GET
2018-01-19 16:18:07.649 0.002063 0.014461 0 1328922 data.dat 200 GET
2018-01-19 16:18:07.664 0.012004 0.000050 0 13542 data.dat 200 GET
2018-01-19 16:18:07.804 0.012343 0.014786 0 1359581 data.dat 200 GET
2018-01-19 16:18:07.846 0.015037 0.000926 0 138776 data.dat 200 GET
2018-01-19 16:18:07.851 0.020491 0.000115 0 13943 data.dat 200 GET
2018-01-19 16:18:07.862 0.017877 0.000073 0 14208 data.dat 200 GET
2018-01-19 16:18:07.911 0.005061 0.000162 0 14276 data.dat 200 GET
2018-01-19 16:18:07.914 0.016440 0.001319 0 143076 data.dat 200 GET
2018-01-19 16:18:07.934 0.001134 0.000111 0 14492 data.dat 200 GET
2018-01-19 16:18:08.014 0.001240 0.000156 0 14909 data.dat 200 GET
2018-01-19 16:18:08.125 0.013037 0.000073 0 15181 data.dat 200 GET
2018-01-19 16:18:08.140 0.001056 0.000055 0 15298 data.dat 200 GET
